ingredientName,unit,category,costPerUnit,stockQuantity,reorderLevel,usage
Sliced Rice,g,Grain,0.64,167,37,used in desserts
Sliced Rice,pcs,Grain,8.14,173,33,used in grilled dishes
Sliced Rice,g,Grain,16.05,28,17,used in soups
Sliced Salmon,kg,Seafood,14.19,92,45,used in pizza
Sliced Salmon,pcs,Seafood,5.35,92,41,used in pizza
Sliced Salt,kg,Spice,6.05,187,9,used in soups
Sliced Salt,L,Spice,10.24,145,47,used in sauces
Sliced Salt,pcs,Spice,10.19,67,11,used in grilled dishes
Sliced Shrimp,pcs,Seafood,13.04,185,39,used in sauces
Sliced Shrimp,L,Seafood,7.01,61,48,used in sauces
Sliced Soy Sauce,g,Condiment,2.84,17,32,used in salads
Sliced Spaghetti,L,Pasta,17.89,126,9,used in pizza
Sliced Spinach,pcs,Vegetable,11.04,29,44,used in grilled dishes
Sliced Spinach,mL,Vegetable,11.78,163,30,used in pizza
Sliced Sugar,L,Sweetener,2.44,198,40,used in stir fry
Sliced Sugar,g,Sweetener,12.87,28,34,used in biryani
Sliced Sunflower Oil,pcs,Oil,2.21,139,43,used in biryani
Sliced Tomato,g,Vegetable,10.12,195,41,used in salads
Sliced Tomato,g,Vegetable,6.04,50,29,used in pizza
Sliced Tomato,pcs,Vegetable,12.92,181,21,used in curry dishes
Sliced Tomato Ketchup,g,Condiment,3.93,78,28,used in biryani
Sliced Tomato Ketchup,L,Condiment,12.55,120,39,used in curry dishes
Sliced Tomato Ketchup,kg,Condiment,19.25,142,7,used in salads
Sliced Tuna,kg,Seafood,1.78,138,32,used in pizza
Sliced Tuna,mL,Seafood,16.46,34,48,used in salads
Sliced Tuna,kg,Seafood,4.69,44,36,used in grilled dishes
Sliced Tuna,mL,Seafood,5.39,79,41,used in salads
Sliced Tuna,L,Seafood,19.07,136,8,used in pizza
Sliced Turmeric,g,Spice,4.97,159,7,used in burgers
Sliced Vinegar,L,Condiment,4.14,37,31,used in grilled dishes
Sliced Vinegar,kg,Condiment,18.87,35,10,used in curry dishes
Sliced Wheat Flour,g,Flour,10.59,46,25,used in biryani
Sliced Wheat Flour,mL,Flour,18.08,91,6,used in salads
Sliced Yogurt,L,Dairy,5.73,167,50,used in burgers
Sliced Yogurt,kg,Dairy,12.71,36,36,used in sauces
Sliced Yogurt,mL,Dairy,14.62,157,38,used in desserts
Sliced Yogurt,mL,Dairy,13.77,187,6,used in curry dishes
Sliced Yogurt,L,Dairy,3.5,181,39,used in curry dishes
Smoked All-purpose Flour,L,Flour,7.59,194,24,used in soups
Smoked All-purpose Flour,g,Flour,11.48,68,29,used in stir fry
Smoked All-purpose Flour,kg,Flour,12.46,98,7,used in salads
Smoked All-purpose Flour,mL,Flour,9.28,10,7,used in biryani
Smoked Basil,g,Herb,18.88,36,39,used in desserts
Smoked Basmati Rice,kg,Grain,9.69,60,40,used in curry dishes
Smoked Basmati Rice,mL,Grain,2.79,87,13,used in pasta recipes
Smoked Basmati Rice,L,Grain,17.04,71,5,used in stir fry
Smoked Beef,g,Meat,4.48,105,49,used in desserts
Smoked Beef,L,Meat,4.05,52,50,used in biryani
Smoked Beef,pcs,Meat,7.81,44,16,used in curry dishes
Smoked Black Pepper,g,Spice,3.18,38,36,used in soups
Smoked Black Pepper,mL,Spice,18.4,116,11,used in pasta recipes
Smoked Black Pepper,pcs,Spice,19.96,154,20,used in pizza
Smoked Black Pepper,L,Spice,6.15,131,33,used in burgers
Smoked Brown Rice,pcs,Grain,16.93,85,14,used in stir fry
Smoked Brown Rice,L,Grain,0.62,32,12,used in grilled dishes
Smoked Brown Rice,kg,Grain,13.84,137,12,used in biryani
Smoked Butter,g,Dairy,0.9,88,38,used in burgers
Smoked Butter,mL,Dairy,15.35,149,7,used in salads
Smoked Butter,mL,Dairy,6.73,188,8,used in soups
Smoked Cabbage,kg,Vegetable,11.32,195,8,used in grilled dishes
Smoked Carrot,pcs,Vegetable,7.7,176,6,used in biryani
Smoked Carrot,pcs,Vegetable,10.11,38,49,used in curry dishes
Smoked Carrot,L,Vegetable,1.62,118,36,used in curry dishes
Smoked Cheddar Cheese,g,Dairy,2.47,126,39,used in pasta recipes
Smoked Chicken Breast,g,Poultry,19.4,18,10,used in grilled dishes
Smoked Chicken Breast,mL,Poultry,5.07,24,43,used in stir fry
Smoked Chicken Breast,g,Poultry,11.8,131,35,used in burgers
Smoked Chicken Thigh,pcs,Poultry,10.72,185,6,used in burgers
Smoked Chickpeas,kg,Legume,5.5,26,12,used in pasta recipes
Smoked Chickpeas,g,Legume,13.79,59,27,used in burgers
Smoked Chili Powder,pcs,Spice,15.01,90,27,used in sauces
Smoked Chili Powder,pcs,Spice,13.17,44,32,used in curry dishes
Smoked Chili Powder,g,Spice,15.86,109,38,used in salads
Smoked Chili Powder,L,Spice,5.88,38,36,used in pasta recipes
Smoked Chili Powder,kg,Spice,11.09,189,20,used in stir fry
Smoked Cilantro,g,Herb,19.73,172,19,used in sauces
Smoked Cilantro,mL,Herb,11.94,115,49,used in biryani
Smoked Cilantro,kg,Herb,17.31,14,39,used in curry dishes
Smoked Coriander Powder,kg,Spice,16,147,21,used in sauces
Smoked Coriander Powder,pcs,Spice,15.18,32,41,used in sauces
Smoked Coriander Powder,pcs,Spice,1.95,140,22,used in stir fry
Smoked Coriander Powder,L,Spice,2.13,182,12,used in sauces
Smoked Coriander Powder,mL,Spice,14.2,37,9,used in desserts
Smoked Cumin,pcs,Spice,12.26,126,25,used in burgers
Smoked Cumin,g,Spice,4.03,181,19,used in desserts
Smoked Garlic,L,Vegetable,8.12,142,18,used in biryani
Smoked Garlic,L,Vegetable,6.26,198,13,used in sauces
Smoked Garlic,g,Vegetable,16.99,22,33,used in biryani
Smoked Garlic,mL,Vegetable,2.7,17,46,used in grilled dishes
Smoked Ginger,mL,Vegetable,9.63,148,47,used in pasta recipes
Smoked Ginger,g,Vegetable,19.18,160,36,used in biryani
Smoked Honey,kg,Sweetener,19.49,70,19,used in biryani
Smoked Honey,g,Sweetener,13.77,82,46,used in stir fry
Smoked Kidney Beans,pcs,Legume,10.26,126,26,used in burgers
Smoked Kidney Beans,kg,Legume,17.33,62,31,used in pasta recipes
Smoked Kidney Beans,mL,Legume,14.41,64,28,used in burgers
Smoked Kidney Beans,pcs,Legume,10.13,50,37,used in grilled dishes
Smoked Lentils,pcs,Legume,5.11,191,8,used in curry dishes
Smoked Lentils,mL,Legume,14.99,168,49,used in stir fry
Smoked Lentils,kg,Legume,15.54,137,49,used in pasta recipes
Smoked Lentils,pcs,Legume,13.22,70,18,used in desserts
Smoked Mayonnaise,pcs,Condiment,10.28,54,46,used in soups
Smoked Mayonnaise,g,Condiment,11.63,192,18,used in pasta recipes
Smoked Mayonnaise,L,Condiment,2.95,157,23,used in stir fry
Smoked Mayonnaise,pcs,Condiment,1.82,135,42,used in sauces
Smoked Milk,pcs,Dairy,10.41,142,16,used in grilled dishes
Smoked Mint,kg,Herb,16.31,33,47,used in pizza
Smoked Mint,pcs,Herb,15.61,22,27,used in biryani
Smoked Mint,kg,Herb,18.29,183,21,used in burgers
Smoked Mint,pcs,Herb,13.13,126,9,used in soups
Smoked Mint,mL,Herb,6.16,15,36,used in curry dishes
Smoked Mozzarella,g,Dairy,15.45,117,31,used in burgers
Smoked Mozzarella,pcs,Dairy,14.95,71,40,used in salads
Smoked Mozzarella,pcs,Dairy,9.15,63,35,used in desserts
Smoked Mustard Oil,mL,Oil,8.75,19,5,used in grilled dishes
Smoked Mustard Oil,pcs,Oil,16.23,186,19,used in curry dishes
Smoked Mustard Oil,pcs,Oil,7.45,188,20,used in pizza
Smoked Mutton,g,Meat,0.94,89,39,used in desserts
Smoked Mutton,mL,Meat,4.76,76,26,used in pizza
Smoked Mutton,L,Meat,6.73,32,25,used in soups
Smoked Mutton,pcs,Meat,3.33,47,29,used in curry dishes
Smoked Noodles,g,Pasta,1.9,57,47,used in salads
Smoked Noodles,L,Pasta,5.93,62,29,used in biryani
Smoked Olive Oil,g,Oil,0.9,44,15,used in sauces
Smoked Olive Oil,g,Oil,4.3,126,29,used in soups
Smoked Olive Oil,kg,Oil,7.7,72,27,used in burgers
Smoked Olive Oil,kg,Oil,11.74,155,39,used in burgers
Smoked Onion,L,Vegetable,7.99,149,29,used in stir fry
Smoked Onion,kg,Vegetable,12.68,18,8,used in salads
Smoked Paneer,kg,Dairy,1.37,70,41,used in grilled dishes
Smoked Paneer,kg,Dairy,1.68,124,23,used in burgers
Smoked Paneer,g,Dairy,15.81,165,23,used in stir fry
Smoked Pasta,L,Pasta,14.15,73,6,used in curry dishes
Smoked Pasta,g,Pasta,0.85,85,27,used in desserts
Smoked Pasta,g,Pasta,19.22,133,50,used in desserts
Smoked Pork,kg,Meat,13.67,185,26,used in pizza
Smoked Pork,kg,Meat,6.73,96,14,used in burgers
Smoked Pork,L,Meat,7.01,172,8,used in salads
Smoked Pork,g,Meat,8.59,103,21,used in sauces
Smoked Potato,pcs,Vegetable,9.36,192,43,used in pizza
Smoked Potato,g,Vegetable,9.6,64,50,used in stir fry
Smoked Rice,kg,Grain,18.7,61,6,used in stir fry
Smoked Rice,kg,Grain,17.91,176,40,used in curry dishes
Smoked Salmon,kg,Seafood,6.13,29,11,used in soups
Smoked Salmon,L,Seafood,10.92,134,33,used in biryani
Smoked Salmon,L,Seafood,16.13,99,44,used in soups
Smoked Salmon,pcs,Seafood,2.91,162,17,used in burgers
Smoked Salt,kg,Spice,7.77,76,8,used in stir fry
Smoked Salt,L,Spice,12.28,147,37,used in grilled dishes
Smoked Shrimp,L,Seafood,8.49,71,26,used in desserts
Smoked Shrimp,g,Seafood,14.2,106,42,used in desserts
Smoked Shrimp,mL,Seafood,9.4,179,39,used in grilled dishes
Smoked Soy Sauce,L,Condiment,16.42,60,24,used in burgers
Smoked Soy Sauce,pcs,Condiment,17.25,192,23,used in pasta recipes
Smoked Soy Sauce,kg,Condiment,1,16,35,used in sauces
Smoked Spaghetti,pcs,Pasta,7.03,98,40,used in sauces
Smoked Spinach,kg,Vegetable,7.22,38,7,used in pasta recipes
Smoked Spinach,mL,Vegetable,18.52,44,47,used in pizza
Smoked Spinach,L,Vegetable,9.3,17,21,used in pizza
Smoked Spinach,L,Vegetable,6.83,41,34,used in curry dishes
Smoked Spinach,g,Vegetable,12.95,43,6,used in sauces
Smoked Sugar,kg,Sweetener,2.08,51,41,used in pizza
Smoked Sugar,mL,Sweetener,15.1,154,21,used in curry dishes
Smoked Sunflower Oil,L,Oil,12.07,10,8,used in pasta recipes
Smoked Tomato,g,Vegetable,11.96,85,13,used in pizza
Smoked Tomato,mL,Vegetable,15.76,16,18,used in grilled dishes
Smoked Tomato Ketchup,pcs,Condiment,17.31,113,36,used in biryani
Smoked Tuna,g,Seafood,0.76,56,13,used in pizza
Smoked Tuna,pcs,Seafood,2.32,70,37,used in sauces
Smoked Tuna,mL,Seafood,1.55,12,26,used in sauces
Smoked Tuna,pcs,Seafood,1.37,173,31,used in desserts
Smoked Turmeric,pcs,Spice,13.61,142,43,used in burgers
Smoked Turmeric,g,Spice,9.69,138,24,used in salads
Smoked Vinegar,L,Condiment,9.62,39,14,used in desserts
Smoked Wheat Flour,L,Flour,6.29,32,14,used in sauces
Smoked Yogurt,g,Dairy,6,169,21,used in stir fry
Smoked Yogurt,g,Dairy,13.95,161,43,used in grilled dishes
Smoked Yogurt,mL,Dairy,10.26,186,28,used in desserts
Smoked Yogurt,kg,Dairy,15.47,130,40,used in biryani
Smoked Yogurt,L,Dairy,17.06,54,48,used in pizza
Whole All-purpose Flour,pcs,Flour,17.59,85,39,used in sauces
Whole Basil,L,Herb,13.52,139,26,used in pizza
Whole Basil,mL,Herb,9.41,159,24,used in burgers
Whole Basil,g,Herb,5.18,78,48,used in pasta recipes
Whole Basil,pcs,Herb,5.56,15,29,used in curry dishes
Whole Basmati Rice,kg,Grain,14.68,142,33,used in soups
Whole Basmati Rice,pcs,Grain,10.6,132,50,used in pasta recipes
Whole Basmati Rice,g,Grain,3.04,110,37,used in stir fry
Whole Basmati Rice,mL,Grain,7.98,33,25,used in soups
Whole Basmati Rice,kg,Grain,10.29,21,35,used in biryani
Whole Beef,g,Meat,3.33,128,17,used in stir fry
Whole Beef,pcs,Meat,14.7,144,32,used in salads
Whole Beef,L,Meat,19.46,194,11,used in soups
Whole Black Pepper,g,Spice,19.81,144,7,used in desserts
Whole Black Pepper,pcs,Spice,4.7,121,15,used in curry dishes
Whole Brown Rice,mL,Grain,19.19,147,16,used in stir fry
Whole Butter,mL,Dairy,8.23,121,24,used in biryani
Whole Butter,pcs,Dairy,10,21,45,used in curry dishes
Whole Cabbage,g,Vegetable,14.69,161,20,used in soups
Whole Cabbage,pcs,Vegetable,14,10,31,used in salads
Whole Cabbage,pcs,Vegetable,17.55,78,45,used in pizza
Whole Cabbage,g,Vegetable,14.96,170,43,used in sauces
Whole Carrot,kg,Vegetable,2.7,81,25,used in burgers
Whole Carrot,pcs,Vegetable,19.54,158,27,used in grilled dishes
Whole Cheddar Cheese,pcs,Dairy,11.3,176,31,used in desserts
Whole Cheddar Cheese,L,Dairy,9.42,121,15,used in soups
Whole Cheddar Cheese,g,Dairy,14.3,96,45,used in stir fry
Whole Cheddar Cheese,L,Dairy,13.42,144,22,used in burgers
Whole Cheddar Cheese,mL,Dairy,3.12,16,42,used in salads
Whole Chicken Breast,L,Poultry,9.86,123,10,used in soups
Whole Chicken Breast,L,Poultry,4.76,76,6,used in biryani
Whole Chicken Thigh,pcs,Poultry,3.44,125,31,used in biryani
Whole Chicken Thigh,g,Poultry,8.48,193,27,used in stir fry
Whole Chicken Thigh,L,Poultry,14.5,155,8,used in salads
Whole Chicken Thigh,mL,Poultry,0.55,111,22,used in salads
Whole Chickpeas,g,Legume,16.72,104,44,used in grilled dishes
Whole Chickpeas,mL,Legume,7.44,71,32,used in sauces
Whole Chickpeas,L,Legume,17.85,170,39,used in soups
Whole Chickpeas,mL,Legume,16.88,149,9,used in pizza
Whole Chili Powder,kg,Spice,16.62,193,26,used in salads
Whole Chili Powder,g,Spice,3.91,40,16,used in biryani
Whole Cilantro,L,Herb,8.09,108,34,used in grilled dishes
Whole Cilantro,g,Herb,7.26,99,36,used in curry dishes
Whole Cilantro,mL,Herb,3.81,192,6,used in pizza
Whole Cilantro,kg,Herb,2.32,37,39,used in grilled dishes
Whole Coriander Powder,kg,Spice,18.53,188,16,used in pizza
Whole Coriander Powder,mL,Spice,17.8,189,7,used in desserts
Whole Coriander Powder,L,Spice,4.62,30,14,used in grilled dishes
Whole Coriander Powder,mL,Spice,7.06,75,48,used in grilled dishes
Whole Cumin,pcs,Spice,14.4,101,32,used in desserts
Whole Cumin,mL,Spice,3.32,117,40,used in biryani
Whole Garlic,kg,Vegetable,16.82,41,42,used in soups
Whole Garlic,pcs,Vegetable,9.89,188,22,used in sauces
Whole Garlic,L,Vegetable,3.2,168,5,used in pizza
Whole Ginger,pcs,Vegetable,4.19,176,10,used in pasta recipes
Whole Ginger,kg,Vegetable,19.49,10,43,used in biryani
Whole Ginger,kg,Vegetable,11.46,103,37,used in salads
Whole Honey,L,Sweetener,8.24,27,31,used in salads
Whole Honey,mL,Sweetener,13.84,90,28,used in burgers
Whole Honey,L,Sweetener,12.83,175,33,used in curry dishes
Whole Honey,L,Sweetener,6.94,82,41,used in pasta recipes
Whole Honey,kg,Sweetener,15.62,19,13,used in salads
Whole Honey,mL,Sweetener,19.21,66,48,used in soups
Whole Kidney Beans,kg,Legume,0.96,150,49,used in biryani
Whole Lentils,mL,Legume,8.85,85,50,used in biryani
Whole Lentils,kg,Legume,13.44,55,21,used in grilled dishes
Whole Lentils,kg,Legume,17.79,160,9,used in grilled dishes
Whole Mayonnaise,pcs,Condiment,11.4,162,19,used in salads
Whole Mayonnaise,pcs,Condiment,12.09,193,15,used in grilled dishes
Whole Mayonnaise,L,Condiment,13.19,127,44,used in pasta recipes
Whole Mayonnaise,g,Condiment,2.3,33,20,used in soups
Whole Milk,pcs,Dairy,1.96,110,15,used in biryani
Whole Milk,g,Dairy,9.45,92,25,used in burgers
Whole Mint,mL,Herb,16.17,49,20,used in biryani
Whole Mint,pcs,Herb,16.41,42,7,used in biryani
Whole Mint,kg,Herb,9.21,68,18,used in stir fry
Whole Mint,mL,Herb,7.81,131,17,used in stir fry
Whole Mint,kg,Herb,10.42,104,22,used in desserts
Whole Mint,kg,Herb,19.71,42,28,used in sauces
Whole Mozzarella,g,Dairy,4.87,13,39,used in biryani
Whole Mozzarella,L,Dairy,11.49,82,27,used in biryani
Whole Mustard Oil,mL,Oil,17.94,121,14,used in sauces
Whole Mustard Oil,kg,Oil,8.15,183,22,used in salads
Whole Mutton,kg,Meat,19.23,16,29,used in biryani
Whole Mutton,mL,Meat,11.32,14,47,used in grilled dishes
Whole Mutton,g,Meat,5.82,156,43,used in grilled dishes
Whole Mutton,kg,Meat,10.83,116,36,used in stir fry
Whole Noodles,pcs,Pasta,0.55,109,13,used in salads
Whole Olive Oil,kg,Oil,11.92,99,44,used in desserts
Whole Olive Oil,g,Oil,19.11,150,16,used in burgers
Whole Olive Oil,pcs,Oil,0.72,157,24,used in pasta recipes
Whole Olive Oil,kg,Oil,3.81,114,14,used in pizza
Whole Onion,pcs,Vegetable,6.68,74,18,used in salads
Whole Onion,pcs,Vegetable,15.62,13,42,used in grilled dishes
Whole Onion,kg,Vegetable,2.12,196,9,used in desserts
Whole Paneer,kg,Dairy,16.41,47,11,used in soups
Whole Pasta,g,Pasta,5.51,150,37,used in sauces
Whole Pasta,L,Pasta,17.84,114,43,used in salads
Whole Pasta,kg,Pasta,0.56,200,25,used in pasta recipes
Whole Pasta,mL,Pasta,17.95,186,18,used in grilled dishes
Whole Pork,L,Meat,4.24,17,20,used in biryani
Whole Pork,L,Meat,18.63,83,36,used in pasta recipes
Whole Pork,kg,Meat,7,120,39,used in biryani
Whole Potato,L,Vegetable,3.65,182,5,used in salads
Whole Potato,g,Vegetable,11.25,185,19,used in pasta recipes
Whole Potato,L,Vegetable,15.69,40,45,used in biryani
Whole Rice,g,Grain,18.81,29,25,used in pizza
Whole Salmon,g,Seafood,10.95,90,48,used in curry dishes
Whole Salmon,pcs,Seafood,1.39,33,33,used in burgers
Whole Salmon,mL,Seafood,5.21,104,17,used in stir fry
Whole Salmon,kg,Seafood,2.54,30,35,used in biryani
Whole Salt,g,Spice,19.48,57,41,used in burgers
Whole Salt,g,Spice,4.73,68,6,used in pasta recipes
Whole Salt,mL,Spice,1.28,30,18,used in burgers
Whole Shrimp,L,Seafood,16.13,42,15,used in soups
Whole Shrimp,pcs,Seafood,8.47,94,16,used in stir fry
Whole Shrimp,pcs,Seafood,12.48,54,7,used in biryani
Whole Shrimp,L,Seafood,10.69,54,23,used in pizza
Whole Shrimp,kg,Seafood,5.21,99,29,used in salads
Whole Soy Sauce,g,Condiment,6.43,32,31,used in grilled dishes
Whole Soy Sauce,g,Condiment,5.27,21,29,used in salads
Whole Spaghetti,kg,Pasta,6.52,29,45,used in burgers
Whole Spaghetti,L,Pasta,12.4,101,49,used in soups
Whole Spinach,pcs,Vegetable,13.37,180,27,used in salads
Whole Spinach,L,Vegetable,6.81,125,45,used in biryani
Whole Spinach,L,Vegetable,17.97,110,25,used in pizza
Whole Sugar,mL,Sweetener,6.63,33,31,used in curry dishes
Whole Sunflower Oil,kg,Oil,16.34,200,5,used in biryani
Whole Tomato,mL,Vegetable,16.77,184,37,used in soups
Whole Tomato,L,Vegetable,8.38,128,10,used in pasta recipes
Whole Tomato Ketchup,g,Condiment,19.76,193,24,used in burgers
Whole Tuna,g,Seafood,14.48,138,12,used in soups
Whole Tuna,L,Seafood,14.26,125,42,used in biryani
Whole Turmeric,g,Spice,17.96,87,37,used in biryani
Whole Turmeric,g,Spice,2.86,145,43,used in salads
Whole Turmeric,mL,Spice,13.68,88,50,used in grilled dishes
Whole Vinegar,mL,Condiment,1.97,162,11,used in soups
Whole Vinegar,mL,Condiment,19.62,157,6,used in curry dishes
Whole Vinegar,g,Condiment,12.63,168,29,used in desserts
Whole Wheat Flour,pcs,Flour,12.7,91,15,used in pizza
Whole Wheat Flour,mL,Flour,4.48,26,42,used in curry dishes
Whole Yogurt,pcs,Dairy,19.58,106,10,used in salads
Whole Yogurt,kg,Dairy,10.35,166,31,used in salads
Whole Yogurt,g,Dairy,8.92,25,44,used in curry dishes
Black Tea Leaves,g,Beverage Ingredient,3.45,100,35,used in chai and black tea
Green Tea Leaves,g,Beverage Ingredient,4.37,50,39,used in green tea
Oolong Tea Leaves,g,Beverage Ingredient,12.03,62,31,used in oolong tea
White Tea Leaves,g,Beverage Ingredient,2.11,70,16,used in premium tea
Matcha Powder,g,Beverage Ingredient,4.88,95,26,used in matcha latte and desserts
Chamomile Flowers,g,Herb,2.3,88,28,used in herbal tea
Hibiscus Petals,g,Herb,8.25,102,30,used in hibiscus tea
Peppermint Leaves,g,Herb,12.32,102,28,used in mint tea
Lemongrass,g,Herb,0.69,78,28,used in herbal tea and Thai tea
Cardamom Pods,g,Spice,8.96,67,11,used in masala chai
Cloves,g,Spice,6.4,41,24,used in spiced tea
Cinnamon Sticks,g,Spice,11.93,24,14,used in chai and spiced drinks
Fennel Seeds,g,Spice,14,47,38,used in herbal tea blends
Ginger Root,kg,Vegetable,11.51,141,21,used in ginger tea
Tea Masala Mix,g,Spice,8.02,132,22,used in masala chai
Condensed Milk,L,Dairy,11.57,26,16,used in milk tea
Evaporated Milk,L,Dairy,1.79,69,38,used in tea and desserts
Brown Sugar Syrup,mL,Sweetener,14.76,86,29,used in bubble tea
Tapioca Pearls,kg,Beverage Ingredient,12.15,51,21,used in bubble tea
Ice Cubes,kg,Misc,9.25,110,22,used in iced tea
